town,candidate,votes
Belmont,Johnson,560.0
Hopkinton,Johnson,560.0
Easton,Johnson,559.0
Quincy,Stein,554.0
Burlington,Johnson,553.0
Phillipston,Trump,550.0
Wales,Trump,550.0
Granville,Trump,548.0
Lowell,Stein,547.0
Auburn,Johnson,545.0
Acton,Johnson,543.0
Scituate,Johnson,542.0
Stoughton,Johnson,539.0
Yarmouth,Johnson,536.0
Northfield,Trump,533.0
Sheffield,Trump,530.0
Amesbury,Johnson,524.0
Duxbury,Johnson,522.0
Northborough,Johnson,521.0
Stoneham,Johnson,521.0
Newburyport,Johnson,520.0
Wellfleet,Trump,515.0
Colrain,Clinton,513.0
Pittsfield,Stein,511.0
Clarksburg,Clinton,510.0
Sandwich,Johnson,508.0
Holyoke,Johnson,507.0
Bellingham,Johnson,502.0
Concord,Johnson,496.0
Fall River,Stein,493.0
Uxbridge,Johnson,491.0
Newton,Stein,491.0
Wareham,Johnson,489.0
Norton,Johnson,483.0
Russell,Trump,480.0
Williamstown,Trump,479.0
Westborough,Johnson,479.0
Tisbury,Trump,474.0
Lawrence,Johnson,474.0
Holland,Clinton,472.0
Chicopee,Stein,472.0
North Reading,Johnson,470.0
Sudbury,Johnson,466.0
Rockland,Johnson,462.0
Charlton,Johnson,461.0
Huntington,Clinton,460.0
Medway,Johnson,458.0
Ashland,Johnson,456.0
Westwood,Johnson,456.0
Whitman,Johnson,456.0
Pepperell,Johnson,454.0
Holliston,Johnson,453.0
Ipswich,Johnson,452.0
Arlington,Stein,447.0
Revere,Johnson,444.0
Amherst,Johnson,440.0
Bourne,Johnson,440.0
Oakham,Clinton,435.0
East Bridgewater,Johnson,432.0
Otis,Clinton,431.0
Worthington,Clinton,430.0
Medfield,Johnson,427.0
Lynn,Stein,426.0
Monterey,Clinton,417.0
Abington,Johnson,417.0
Petersham,Clinton,416.0
East Brookfield,Clinton,414.0
Saugus,Johnson,414.0
Plymouth,Stein,412.0
Ludlow,Johnson,409.0
Westhampton,Trump,408.0
Otis,Trump,407.0
Haverhill,Stein,407.0
Charlemont,Clinton,406.0
Longmeadow,Johnson,406.0
Webster,Johnson,406.0
Oxford,Johnson,405.0
Blandford,Trump,404.0
Bedford,Johnson,404.0
Hinsdale,Trump,403.0
Wendell,Clinton,402.0
East Longmeadow,Johnson,402.0
Sharon,Johnson,402.0
Groton,Johnson,399.0
Hanover,Johnson,398.0
Chesterfield,Clinton,397.0
Salem,Stein,396.0
Littleton,Johnson,393.0
Millbury,Johnson,392.0
Erving,Clinton,389.0
Clinton,Johnson,388.0
Norfolk,Johnson,388.0
Wilmington,Johnson,388.0
Sunderland,Trump,387.0
Belchertown,Johnson,387.0
Holyoke,Stein,386.0
Wrentham,Johnson,385.0
Bernardston,Trump,382.0
Lunenburg,Johnson,382.0
Kingston,Johnson,381.0
Brookline,Stein,381.0
South Hadley,Johnson,380.0
Weymouth,Stein,378.0
Brockton,Stein,375.0
Phillipston,Clinton,374.0
Southbridge,Johnson,374.0
Wayland,Johnson,374.0
Chester,Trump,372.0
Dennis,Johnson,372.0
Somerset,Johnson,371.0
Wilbraham,Johnson,369.0
Becket,Trump,367.0
Greenfield,Johnson,367.0
Easthampton,Johnson,366.0
Waltham,Stein,366.0
Wales,Clinton,365.0
Goshen,Clinton,364.0
Carver,Johnson,364.0
Tyngsborough,Johnson,363.0
Medford,Stein,362.0
Truro,Trump,361.0
Townsend,Johnson,361.0
Raynham,Johnson,355.0
Taunton,Stein,355.0
Mashpee,Johnson,347.0
