town,candidate,votes
Conway,Yes,782.0
Stockbridge,Yes,767.0
Ashfield,Yes,763.0
Wellfleet,No,763.0
Hardwick,Yes,760.0
Ashby,No,738.0
Huntington,Yes,723.0
Lanesborough,No,705.0
Sheffield,No,693.0
Becket,Yes,688.0
Sunderland,No,685.0
Bernardston,Yes,680.0
Pelham,Yes,674.0
Millville,No,646.0
Hardwick,No,645.0
Westhampton,Yes,626.0
Buckland,Yes,624.0
Oakham,Yes,616.0
Phillipston,Yes,611.0
Wales,Yes,610.0
East Brookfield,Yes,608.0
Hinsdale,Yes,605.0
Williamsburg,No,600.0
West Tisbury,No,590.0
East Brookfield,No,580.0
Richmond,Yes,563.0
Colrain,Yes,554.0
Whately,Yes,553.0
Gill,Yes,552.0
Bernardston,No,548.0
Truro,No,546.0
West Stockbridge,Yes,541.0
Egremont,Yes,537.0
Provincetown,No,537.0
New Marlborough,Yes,532.0
Holland,No,532.0
Otis,Yes,525.0
Chilmark,Yes,524.0
Granville,Yes,510.0
Oakham,No,504.0
Stockbridge,No,502.0
Westhampton,No,487.0
Erving,Yes,473.0
Chesterfield,Yes,468.0
Petersham,Yes,465.0
Wendell,Yes,460.0
Hinsdale,No,460.0
Russell,Yes,459.0
Huntington,No,450.0
Charlemont,Yes,448.0
Worthington,Yes,448.0
Clarksburg,Yes,448.0
Whately,No,443.0
Granville,No,433.0
Buckland,No,426.0
Richmond,No,419.0
Conway,No,415.0
Phillipston,No,412.0
Blandford,Yes,406.0
Chester,Yes,399.0
Gill,No,392.0
Clarksburg,No,392.0
Wales,No,388.0
Royalston,Yes,385.0
Otis,No,367.0
New Salem,Yes,366.0
Goshen,Yes,366.0
Cummington,Yes,365.0
Colrain,No,348.0
West Stockbridge,No,347.0
Leverett,No,343.0
Ashfield,No,341.0
Becket,No,337.0
Russell,No,334.0
Monterey,Yes,330.0
New Braintree,Yes,329.0
Petersham,No,329.0
Shutesbury,No,309.0
Peru,Yes,306.0
Windsor,Yes,300.0
Erving,No,300.0
Sandisfield,Yes,299.0
Blandford,No,299.0
Warwick,Yes,290.0
New Marlborough,No,290.0
Chester,No,289.0
Worthington,No,287.0
Royalston,No,287.0
Egremont,No,285.0
Leyden,Yes,278.0
New Braintree,No,275.0
Montgomery,Yes,268.0
Chesterfield,No,262.0
Plainfield,Yes,261.0
Charlemont,No,252.0
Goshen,No,250.0
Pelham,No,245.0
Heath,Yes,241.0
Montgomery,No,232.0
New Salem,No,226.0
Windsor,No,218.0
Chilmark,No,217.0
Savoy,Yes,214.0
Hancock,Yes,207.0
Aquinnah,Yes,204.0
Peru,No,204.0
Heath,No,203.0
Leyden,No,201.0
Florida,Yes,199.0
Monterey,No,192.0
Alford,Yes,189.0
Washington,Yes,189.0
Middlefield,Yes,181.0
Cummington,No,177.0
Hancock,No,173.0
Warwick,No,165.0
Florida,No,165.0
Tolland,Yes,163.0
Savoy,No,163.0
Sandisfield,No,155.0
Tyringham,Yes,154.0
Tolland,No,140.0
Plainfield,No,139.0
Tyringham,No,131.0
Washington,No,126.0
Wendell,No,121.0
Hawley,Yes,120.0
Rowe,Yes,120.0
Middlefield,No,116.0
Rowe,No,107.0
New Ashford,Yes,101.0
Alford,No,98.0
Hawley,No,79.0
Aquinnah,No,71.0
Mount Washington,Yes,68.0
New Ashford,No,52.0
Monroe,Yes,43.0
Gosnold,Yes,40.0
Mount Washington,No,34.0
Gosnold,No,27.0
Monroe,No,16.0
