"town","cl_yes_pct","charter_yes_pct","mj_yes_pct","TotalPop","PopDen","MedHouseIncome","PctYoung","PctCollege","PctFemale","PctWhite"
"dedham",0.642132932782576,0.364299369822276,0.5,25272,3365.20823569489,89257.9047958215,0.40159069325736,0.472098109353134,0.517766698322254,0.800925925925926
"deerfield",0.71686969361388,0.270847231487658,0.551541266158436,5054,156.023529171974,80000,0.351602690937871,0.525871172122492,0.557973882073605,0.912346656113969
"dennis",0.565755962028247,0.437676438653637,0.46810577441986,14067,728.159285733285,57058.5508637236,0.251581716073079,0.381647297302905,0.535437548873249,0.91106845809341
"dighton",0.427086110370568,0.33532041728763,0.537487586891758,7320,332.345402144195,92818,0.416666666666667,0.284022519899049,0.511612021857924,0.937158469945355
"douglas",0.398656215005599,0.311106565759869,0.569130523315007,8665,238.034036257464,90020,0.430236583958453,0.336281651057926,0.51402192729371,0.888978649740335
"dover",0.64424280350438,0.587301587301587,0.435167265689798,5864,387.870494257431,189265,0.425818553888131,0.845308310991956,0.483117326057299,0.838165075034106
"dracut",0.443358982937437,0.399601519208019,0.51456009913259,30940,1970.548333244,88239.5823529412,0.452100840336134,0.284402131636625,0.504298642533937,0.84311570782159
"dudley",0.42400482509047,0.319933308632827,0.517177687476912,11608,1232.95656104862,63603.8585458305,0.463387319090282,0.27693792484409,0.474844934527911,0.932546519641626
"dunstable",0.532663316582915,0.395221503235441,0.538538040775733,3310,201.144724625366,118984,0.367673716012085,0.5552608311229,0.536253776435044,0.926888217522659
"duxbury",0.566391682676009,0.485989941496459,0.432374541003672,15444,717.611270159573,120683.155918156,0.388759388759389,0.671524206376774,0.524605024605025,0.968207718207718
"east bridgewater",0.437197064118543,0.316851922831225,0.514054190934414,14222,831.370054360623,86552.1779637182,0.408311067360428,0.260090440876446,0.544438194346787,0.941428772324567
"east brookfield",0.385116279069767,0.37766410912191,0.511784511784512,2259,229.309145260127,80714,0.404161133244799,0.303964757709251,0.494909251881364,0.976980965028774
"east longmeadow",0.479239971850809,0.357056694813028,0.461068035382767,16063,1553.28156220979,82913.5127311212,0.370914524061508,0.430292281467588,0.541617381560107,0.877855942227479
"eastham",0.647647058823529,0.441911562757484,0.512575177692728,4924,361.694621890381,57886.7792445167,0.246547522339561,0.490503377023866,0.535337124289197,0.940698619008936
"easthampton",0.677651680488869,0.238194299979197,0.622796100394109,16042,1347.42912823452,62561.5162697918,0.369592320159581,0.339670348671203,0.519511282882434,0.879566138885426
"easton",0.52967829632986,0.347055209339068,0.464466561899773,23770,913.748102137254,103153.262936475,0.45864535128313,0.48701423600349,0.515986537652503,0.89036600757257
"edgartown",0.696296296296296,0.501480384900074,0.611639824304539,4247,158.431242163402,70556,0.3319990581587,0.293817718291906,0.435837061455145,0.882269837532376
"egremont",0.80859375,0.38641975308642,0.653284671532847,1776,33.8953845348491,67156,0.20777027027027,0.541137123745819,0.49268018018018,0.923986486486487
