"Story, Ellen",1,0,0,0,1,0,0,0,0,1,0.5,0,1,1,0,1,0,0,1,0,0,1,0
"Straus, William",0.5,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0.5,1
"Swan, Benjamin",1,0,0,0,1,0.5,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
"Timilty, Walter",1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
"Toomey, Timothy",1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0
"Tosado, Jose",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0
"Tucker, Paul",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0.5,1,0,0,1,1
"Ultrino, Steve",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Vega, Aaron",1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0
"Velis, John",1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1
"Vieira, David",0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1
"Vincent, RoseLee",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Wagner, Joseph",1,0,0,0,1,0,0,0,0,0,1,0.5,1,1,0,1,0,0,1,0,0,1,1
"Walsh, Chris",1,0,0,0,1,0,0,0.5,0,1,1,0,1,1,0.5,1,0,0,1,0,0,1,1
"Walsh, Thomas",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0,0,1,1,0,1,1
"Whelan, Timothy",0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
"Whipps Lee, Susannah",0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0.5,1,0,1,1
"Wong, Donald",0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
"Zlotnik, Jonathan",1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1
