0.74,"Mariano, Ronald",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0
0.74,"Mark, Paul",(D),1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,NA,NA,1,1,0
0.70,"Markey, Christopher",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0
0.74,"McGonagle, Joseph",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0
0.13,"McKenna, Joseph",(R),0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.78,"McMurtry, Paul",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.61,"Miceli, James",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0
0.78,"Michlewitz, Aaron",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.17,"Mirra, Leonard",(R),0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.74,"Mom, Rady",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0
0.83,"Moran, Frank",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
0.78,"Moran, Michael",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.26,"Muradian, David",(R),0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0.17,"Muratore, Mathew",(R),0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.70,"Murphy, James",(D),1,0,1,1,1,NA,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0
0.61,"Nangle, David",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0
0.48,"Naughton, Harold",(D),1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,0,1,1,0
0.17,"O'Connell, Shaunna",(R),0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.78,"O'Day, James",(D),1,0,1,1,1,1,1,1,1,1,NA,0,0,1,1,1,1,1,1,1,1,1,0
0.22,"Orrall, Keiko",(R),0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.57,"Parisella, Jerald",(D),1,0,1,1,1,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,1,1,NA,1,1,0
0.78,"Peake, Sarah",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.78,"Peisch, Alice",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.65,"Petrolati, Thomas",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0
