Incident_Num,Shooting_Date,DISTRICT,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim
I152058960,7/16/2015 23:32,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t
I152058960,7/16/2015 23:32,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152062772,7/29/2015 21:15,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152062772,7/29/2015 21:15,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152063927,8/2/2015 23:42,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152063597,8/1/2015 18:08,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152063708,8/2/2015 3:38,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152064063,8/3/2015 12:43,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152064063,8/3/2015 12:43,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152064063,8/3/2015 12:43,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152065478,8/8/2015 2:15,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152065459,8/8/2015 0:01,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152065731,8/9/2015 1:04,B2,Non-Fatal,Female,White,Hispanic or Latinx,f
I152066828,8/12/2015 22:14,E13,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152066828,8/12/2015 22:14,E13,Fatal,Male,White,Hispanic or Latinx,t
I152066849,8/12/2015 12:32,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152066827,8/12/2015 22:18,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152066827,8/12/2015 22:18,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152066827,8/12/2015 22:18,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152067124,8/13/2015 23:35,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152067124,8/13/2015 23:35,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152067039,8/13/2015 16:35,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152068253,8/18/2015 0:01,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152067782,8/16/2015 12:23,C6,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152067431,8/15/2015 0:30,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152067431,8/15/2015 0:30,E13,Non-Fatal,Male,White,Hispanic or Latinx,t
I152067405,8/14/2015 21:43,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
