service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2021/09/01 04:00:00+00,Commuter Rail,Commuter Rail,978777,46608,21,1135782,37859,30,680
2021/09/01 04:00:00+00,Ferry,Ferry,41106,1957,21,51686,1723,30,681
2021/09/01 04:00:00+00,Rail,Green Line,1774664,84508,21,2364580,78819,30,682
2021/09/01 04:00:00+00,Rail,Orange Line,2076991,98904,21,2636568,87886,30,683
2021/09/01 04:00:00+00,Rail,Red Line,2405306,114538,21,3034543,101151,30,684
2021/09/01 04:00:00+00,Bus,Silver Line,487975,23237,21,628547,20952,30,685
2021/09/01 04:00:00+00,The RIDE,The RIDE,61257,2917,21,75787,2526,30,686
2021/10/01 04:00:00+00,Rail,Blue Line,852428,40592,21,1133309.167,36558,31,687
2021/10/01 04:00:00+00,Bus,Bus,5081598,241981,21,6213440,200434,31,688
2021/10/01 04:00:00+00,Commuter Rail,Commuter Rail,1086358,51731,21,1361595,43922,31,689
2021/10/01 04:00:00+00,Ferry,Ferry,36871,1756,21,43954,1418,31,690
2021/10/01 04:00:00+00,Rail,Green Line,1848319.965,88015,21,2500456.896,80660,31,691
2021/10/01 04:00:00+00,Rail,Orange Line,2171914.439,103424,21,2825453.046,91144,31,692
2021/10/01 04:00:00+00,Rail,Red Line,2602943.236,123950,21,3343187.092,107845,31,693
2021/10/01 04:00:00+00,Bus,Silver Line,505493,24071,21,656469,21176,31,694
2021/10/01 04:00:00+00,The RIDE,The RIDE,64281,3061,21,78976,2548,31,695
2021/11/01 04:00:00+00,Rail,Blue Line,742995,35381,21,942558,31419,30,696
2021/11/01 04:00:00+00,Bus,Bus,5127538,244169,21,6075344,202512,30,697
2021/11/01 04:00:00+00,Commuter Rail,Commuter Rail,1122143,53435,21,1316818,43894,30,698
2021/11/01 04:00:00+00,Ferry,Ferry,37799,1800,21,40721,1357,30,699
2021/11/01 04:00:00+00,Rail,Green Line,1585743,75512,21,2025904,67530,30,700
2021/11/01 04:00:00+00,Rail,Orange Line,2100375,100018,21,2597473,86582,30,701
2021/11/01 04:00:00+00,Rail,Red Line,2326425,110782,21,2827198,94240,30,702
2021/11/01 04:00:00+00,Bus,Silver Line,514452,24498,21,643180,21439,30,703
2021/11/01 04:00:00+00,The RIDE,The RIDE,59934,2854,21,74533,2484,30,704
2021/12/01 05:00:00+00,Rail,Blue Line,687636,29897,23,853036,27517,31,705
2021/12/01 05:00:00+00,Bus,Bus,4591806,199644,23,5548512,178984,31,706
2021/12/01 05:00:00+00,Commuter Rail,Commuter Rail,1024813,44557,23,1141384,36819,31,707
